Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
5887,13528,3977,5125,5891,13538,29913,
6049,13510,3989,5144,6052,13517,31187,
5900,13790,3923,5132,5901,13797,32655,
5883,13887,3937,5130,5884,13890,33225,
5872,13805,3930,5139,5875,13813,32127,
5872,13471,3941,5126,5875,13475,30342,
5913,13363,3998,5125,5914,13372,29266,
5946,13714,3970,5140,5948,13723,31019,
5907,13464,3958,5144,5912,13471,31376,
6038,13602,4011,5192,6047,13605,31490,
6034,13434,4038,5182,6035,13444,30638,
5839,13817,3987,5180,5842,13825,30937,
5853,13680,3944,5120,5855,13686,31701,
5824,13367,3971,5107,5829,13378,30784,
5824,14161,3894,5104,5825,14164,35079,
5856,13721,3920,5458,5858,13728,32388,
5913,13656,3931,5100,5913,13657,32198,
5969,13594,3988,5148,5974,13602,29394,
5931,13578,3962,5156,5933,13582,32097,
5953,13649,4001,5142,5956,13655,31151,
