Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
17365,27073,9569,9772,17365,27302,30868,
17230,26619,9525,9766,17234,26817,30312,
16983,28259,9286,9560,16985,28471,32862,
17312,28194,9434,9722,17314,28453,32532,
17409,27047,9485,9722,17411,27245,30802,
17537,27759,9508,9661,17540,27977,31849,
17631,27948,9507,9684,17633,28173,32121,
17428,27588,9548,9768,17434,27801,31602,
17134,27574,9363,9523,17140,27792,31743,
17881,27859,9535,9671,17881,28100,31774,
17065,26091,9612,9870,17070,26347,29537,
17228,26792,9597,9774,17231,27003,30539,
17303,26472,9549,9719,17307,26717,30099,
17103,27275,9462,9632,17103,27464,31134,
17325,26762,9548,9741,17332,26993,30526,
17315,28363,9510,9783,17318,28545,32862,
17432,25628,9665,9927,17435,25832,28749,
17362,28382,9404,9556,17367,28588,33016,
17425,27248,9585,9678,17430,27498,31060,
17449,27406,9518,9661,17452,27623,31482,
