Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
14325,18309,18036,0,7956,8114,12387,0,14325,18421,18146,0,19705,
14618,18835,18519,0,8086,8217,12631,0,14620,18993,18675,0,20390,
14866,19787,19403,0,8095,8229,12968,0,14867,19959,19549,0,21511,
14235,18051,17761,0,8134,8301,12175,0,14235,18218,17900,0,19379,
14173,18520,18162,0,7867,7994,12370,0,14174,18647,18280,0,20028,
14591,18577,18260,0,8062,8202,12494,0,14597,18712,18382,0,19933,
14260,17891,17577,0,7968,8199,12154,0,14260,18045,17717,0,19144,
14669,19149,18836,0,8050,8178,12726,0,14674,19306,18951,0,20766,
14417,17796,17504,0,8084,8284,12212,0,14417,17950,17631,0,18982,
14575,19023,18728,0,8014,8169,12662,0,14576,19202,18877,0,20650,
14145,18087,17824,0,7996,8195,12320,0,14146,18242,17970,0,19442,
14419,18889,18569,0,7927,7983,12529,0,14420,19058,18703,0,20431,
14782,18381,18111,0,8169,8329,12391,0,14784,18531,18239,0,19727,
14086,18226,17928,0,7991,8114,12331,0,14086,18362,18066,0,19573,
14615,18830,18515,0,8057,8212,12600,0,14616,18992,18671,0,20360,
14564,18521,18212,0,8016,8270,12498,0,14566,18665,18347,0,19890,
14290,18443,18096,0,8030,8161,12353,0,14290,18591,18234,0,19827,
14210,19142,18776,0,7865,8078,12574,0,14211,19295,18915,0,20883,
14448,18088,17818,0,8075,8208,12294,0,14448,18234,17947,0,19313,
14706,18487,18180,0,8061,8210,12439,0,14712,18618,18330,0,19877,
