Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
17592,26501,25867,0,9667,9801,16454,0,17595,26737,26087,0,29931,
17136,28401,27598,0,9456,9541,17053,0,17142,28641,27846,0,32998,
17223,28495,27784,0,9396,9515,17066,0,17226,28732,27989,0,32944,
17663,27822,27085,0,9628,9816,16900,0,17676,28040,27283,0,31791,
17223,27321,26635,0,9440,9684,16679,0,17231,27548,26862,0,31338,
17198,27042,26386,0,9426,9639,16596,0,17202,27278,26596,0,30791,
17792,27391,26662,0,9584,9764,16758,0,17795,27618,26853,0,31201,
17329,26009,25460,0,9596,9796,16277,0,17330,26242,25661,0,29389,
17481,26942,26348,0,9625,9794,16607,0,17481,27171,26549,0,30729,
17435,26632,25939,0,9474,9607,16431,0,17437,26835,26177,0,30190,
17623,26853,26310,0,9684,9843,16567,0,17626,27139,26524,0,30564,
17756,26868,26243,0,9676,9865,16570,0,17757,27131,26455,0,30370,
16868,28804,27995,0,9283,9448,17082,0,16873,29024,28245,0,33620,
17686,26566,25928,0,9807,10047,16465,0,17689,26798,26139,0,29925,
17152,27460,26731,0,9451,9649,16638,0,17154,27729,26973,0,31676,
16873,26867,26230,0,9367,9426,16454,0,16874,27118,26459,0,30799,
17875,27098,26410,0,9645,9740,16604,0,17878,27330,26622,0,30652,
18042,27308,26650,0,9688,9814,16775,0,18043,27590,26872,0,31162,
17131,26844,26215,0,9505,9646,16467,0,17133,27082,26427,0,30801,
17293,27373,26706,0,9577,9771,16752,0,17296,27599,26909,0,31330,
