#cores,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
1.0,9305.0,992611.0,99270405.0,0.0,0.0,0.0,2763.0,975681.0,97570863.0
2.0,15019.0,1985130.0,198528019.0,0.0,0.0,0.0,16217.0,1905834.0,190599617.0
4.0,22181.0,3725636.0,372585781.0,0.0,0.0,0.0,24529.0,3610635.0,361088029.0
6.0,26701.0,4771668.0,477193501.0,0.0,0.0,0.0,28706.0,4706220.0,470650706.0
8.0,30629.0,5061285.0,506159129.0,0.0,0.0,0.0,30554.0,5061553.0,506185854.0
10.0,30775.0,5063250.0,506355775.0,0.0,0.0,0.0,30775.0,5063250.0,506355775.0
12.0,30775.0,5063250.0,506355775.0,0.0,0.0,0.0,30775.0,5063250.0,506355775.0
14.0,30775.0,5063250.0,506355775.0,0.0,0.0,0.0,30775.0,5063250.0,506355775.0
16.0,30775.0,5063250.0,506355775.0,0.0,0.0,0.0,30775.0,5063250.0,506355775.0
18.0,30775.0,5063250.0,506355775.0,0.0,0.0,0.0,30775.0,5063250.0,506355775.0
20.0,30775.0,5063250.0,506355775.0,0.0,0.0,0.0,30775.0,5063250.0,506355775.0
