src,dst,spec,used_slot,tfk_slot
0,41,66.0,7,6.0
0,67,11.0,7,6.0
0,72,77.0,4,3.0
0,93,18.0,7,6.0
1,3,14.0,7,6.0
1,17,74.0,7,6.0
1,34,44.0,7,6.0
1,37,51.0,15,14.0
1,91,66.0,7,6.0
2,35,22.0,3,2.0
2,61,66.0,15,14.0
2,69,32.0,15,14.0
2,82,19.0,3,2.0
2,84,0.0,4,3.0
3,9,1.0,4,3.0
3,97,66.0,15,14.0
4,20,19.0,4,3.0
4,33,0.0,7,6.0
4,59,49.0,2,1.0
4,90,66.0,15,14.0
4,93,11.0,7,6.0
5,28,45.0,7,6.0
5,50,7.0,7,6.0
5,68,0.0,7,6.0
5,92,22.0,15,14.0
6,12,15.0,7,6.0
6,60,51.0,15,14.0
6,95,22.0,4,3.0
7,29,21.0,4,3.0
7,55,6.0,15,14.0
8,2,4.0,15,14.0
8,26,77.0,4,3.0
9,2,25.0,7,6.0
9,15,59.0,7,6.0
9,18,34.0,2,1.0
9,51,14.0,4,3.0
9,52,5.0,2,1.0
9,73,7.0,7,6.0
10,1,41.0,3,2.0
10,3,12.0,2,1.0
10,15,67.0,7,6.0
10,18,30.0,4,3.0
10,29,65.0,2,1.0
10,43,16.0,4,3.0
10,46,27.0,3,2.0
10,53,50.0,15,14.0
10,75,38.0,2,1.0
10,76,34.0,3,2.0
10,91,5.0,7,6.0
11,44,74.0,7,6.0
11,67,59.0,7,6.0
11,81,66.0,7,6.0
11,85,0.0,7,6.0
12,10,45.0,3,2.0
12,34,65.0,4,3.0
13,17,25.0,7,6.0
13,81,51.0,7,6.0
13,82,47.0,4,3.0
13,91,74.0,7,6.0
14,7,62.0,15,14.0
14,12,0.0,7,6.0
14,28,28.0,7,6.0
15,12,7.0,7,6.0
15,52,37.0,15,14.0
16,9,74.0,7,6.0
16,33,66.0,4,3.0
16,65,29.0,7,6.0
16,74,22.0,7,6.0
18,16,51.0,15,14.0
18,94,66.0,15,14.0
19,41,30.0,4,3.0
19,56,15.0,15,14.0
20,0,0.0,4,3.0
21,7,44.0,15,14.0
21,29,67.0,7,6.0
21,34,61.0,4,3.0
22,74,55.0,4,3.0
