#cores,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
1.0,2408.0,877556.0,87758008.0,0.0,0.0,0.0,2531.0,842828.0,84285331.0
2.0,4976.0,1740923.0,174097276.0,0.0,0.0,0.0,5222.0,1664225.0,166427722.0
4.0,12759.0,3303743.0,330387059.0,0.0,0.0,0.0,12072.0,3058112.0,305823272.0
6.0,21358.0,4398634.0,439884758.0,0.0,0.0,0.0,19363.0,4134556.0,413474963.0
8.0,27309.0,5002704.0,500297709.0,0.0,0.0,0.0,25891.0,4862909.0,486316791.0
10.0,31072.0,5179700.0,518001072.0,0.0,0.0,0.0,30564.0,5165683.0,516598864.0
12.0,31444.0,5181368.0,518168244.0,0.0,0.0,0.0,31444.0,5181368.0,518168244.0
14.0,31444.0,5181368.0,518168244.0,0.0,0.0,0.0,31444.0,5181368.0,518168244.0
16.0,31444.0,5181368.0,518168244.0,0.0,0.0,0.0,31444.0,5181368.0,518168244.0
18.0,31444.0,5181368.0,518168244.0,0.0,0.0,0.0,31444.0,5181368.0,518168244.0
20.0,31444.0,5181368.0,518168244.0,0.0,0.0,0.0,31444.0,5181368.0,518168244.0
