Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
17674,27050,26329,9692,9860,11185,17676,27259,26487,30635,
17499,26956,26214,9596,9804,11187,17499,27170,26350,30666,
17255,26777,25956,9539,9768,11269,17259,27003,26108,30495,
