#cores,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
1.0,11266.0,579636.0,11266.0,0.0,0.0,0.0,10181.0,467136.0,10181.0
2.0,14334.0,997736.0,14334.0,0.0,0.0,0.0,13115.0,784436.0,13115.0
4.0,17792.0,1672766.0,17792.0,0.0,0.0,0.0,16674.0,1319820.0,16674.0
6.0,17862.0,1737406.0,17862.0,0.0,0.0,0.0,16728.0,1341420.0,16728.0
8.0,19345.0,2565413.0,19345.0,0.0,0.0,0.0,18305.0,2443961.0,18305.0
10.0,19351.0,2564983.0,19351.0,0.0,0.0,0.0,18281.0,2316126.0,18281.0
12.0,19351.0,2564983.0,19351.0,0.0,0.0,0.0,18281.0,2316126.0,18281.0
14.0,19346.0,2571523.0,19346.0,0.0,0.0,0.0,18310.0,2329221.0,18310.0
16.0,19700.0,3239231.0,19700.0,0.0,0.0,0.0,19354.0,3191066.0,19354.0
18.0,19700.0,3239231.0,19700.0,0.0,0.0,0.0,19354.0,3191066.0,19354.0
20.0,19700.0,3262080.0,19700.0,0.0,0.0,0.0,19240.0,3198061.0,19240.0
