Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
31863,32012,13289,13289,31863,32095,32227,
31994,31821,13612,13612,31994,31938,31994,
31974,31978,13407,13407,31974,32098,32236,
30486,30573,13500,13500,30486,30666,30745,
29656,29542,13462,13462,29656,29615,29656,
30627,30500,13556,13556,30627,30577,30627,
32786,32698,13142,13142,32786,32861,33030,
30932,30823,13366,13366,30932,30913,30988,
30080,30067,13431,13431,30080,30142,30196,
30263,30170,13564,13564,30263,30273,30334,
30352,30320,13287,13287,30352,30418,30470,
29552,29490,13299,13299,29552,29531,29552,
30837,30814,13339,13339,30837,30886,30957,
30427,30373,13467,13467,30427,30461,30512,
31935,31983,13211,13211,31935,32137,32290,
30619,30634,13669,13669,30619,30759,30843,
29876,29998,13484,13484,29876,30080,30162,
33097,33302,13269,13269,33097,33466,33700,
30609,30506,13463,13463,30609,30573,30609,
30130,30107,13510,13510,30130,30189,30244,
