Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
1418,3836,1418,3836,1418,3836,30188,
1421,3800,1421,3800,1421,3800,31483,
1429,3690,1429,3690,1429,3690,32451,
1417,3736,1417,3736,1417,3736,31909,
1422,3630,1422,3630,1422,3630,30362,
1434,3815,1434,3815,1434,3815,30239,
1424,3812,1424,3812,1424,3812,29656,
1417,3798,1417,3798,1417,3798,31663,
1411,3642,1411,3642,1411,3642,29438,
1411,3871,1411,3871,1411,3871,31436,
1433,3808,1433,3808,1433,3808,32334,
1406,3710,1406,3710,1406,3710,31842,
1411,3821,1411,3821,1411,3821,30891,
1418,3848,1418,3848,1418,3848,29578,
1406,3797,1406,3797,1406,3797,32065,
1413,3527,1413,3527,1413,3527,31576,
1396,3457,1396,3457,1396,3457,31322,
1397,3750,1397,3750,1397,3750,31325,
1411,3840,1411,3840,1411,3840,30041,
1404,3723,1404,3723,1404,3723,31751,
