Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
19722,28693,9536,9706,19727,28953,32083,
19159,27119,9395,9612,19167,27326,29972,
19561,28247,9511,9730,19572,28474,31392,
19333,27967,9502,9783,19336,28207,31055,
18872,28635,9381,9597,18878,28941,32311,
19722,26268,9738,9958,19723,26467,28631,
19309,27791,9540,9704,19315,28031,30974,
19111,26799,9507,9693,19115,27010,29522,
19518,27752,9635,9801,19519,28006,30760,
19935,27485,9696,9828,19941,27705,30188,
18849,26723,9387,9556,18850,26948,29686,
19126,27511,9425,9633,19132,27753,30685,
19514,28796,9578,9746,19517,29019,32145,
19274,27057,9629,9863,19274,27292,29781,
19574,28231,9460,9541,19576,28482,31505,
19521,28210,9434,9576,19525,28451,31482,
19336,27458,9606,9787,19342,27688,30398,
19475,27658,9689,9891,19478,27878,30589,
19354,27200,9563,9812,19354,27425,30050,
19120,27090,9503,9663,19120,27338,30026,
