Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
21934,29979,9615,9782,21937,30233,32742,
20912,28284,9411,9657,20913,28486,30797,
21612,27878,9771,9964,21612,28071,30021,
21084,28394,9504,9746,21088,28623,30931,
21586,29058,9532,9700,21588,29317,31715,
21538,28611,9610,9812,21539,28847,31051,
21119,27896,9545,9772,21120,28099,30137,
21255,27072,9724,9861,21257,27268,28948,
21420,28687,9423,9614,21425,28936,31214,
20735,26756,9597,9786,20736,26995,28733,
21870,28337,9586,9797,21875,28549,30546,
21613,28657,9589,9745,21617,28869,30998,
21577,28704,9635,9821,21579,28950,31119,
21404,29520,9500,9682,21405,29756,32332,
21479,29165,9567,9755,21482,29374,31682,
21718,29429,9618,9798,21719,29664,32002,
20957,30123,9214,9375,20965,30393,33346,
21355,28868,9420,9658,21356,29101,31500,
21457,28553,9557,9741,21462,28838,31110,
21424,29566,9516,9752,21427,29813,32300,
