Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
7467,16905,4877,6121,7467,16918,32832,
7569,16556,4950,6160,7572,16574,32119,
7535,16470,4893,6214,7539,16493,32646,
7571,16571,4907,6264,7575,16589,33492,
7576,16197,4972,6221,7579,16222,30504,
7501,16405,4930,6198,7502,16423,30782,
7715,16610,4995,6280,7720,16630,31656,
7695,16131,5002,6201,7698,16154,30723,
7777,16591,5059,6340,7780,16614,30607,
7695,16633,4982,6261,7696,16658,31617,
7491,16550,4929,6227,7496,16566,30762,
7607,16303,4947,6269,7609,16326,31049,
7556,16589,4963,6191,7563,16616,31724,
7728,16277,5012,6297,7732,16303,30185,
7424,16198,4885,6232,7429,16220,32564,
7629,16456,4956,6284,7630,16477,30636,
7584,16578,4974,6259,7585,16597,30824,
7806,16399,5038,6271,7810,16422,30027,
7577,16594,4943,6307,7579,16612,31618,
7688,16216,4959,6269,7692,16247,30172,
