Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
22905,28677,9596,9862,22905,28906,30505,
22090,27164,9603,9812,22092,27337,28543,
22929,29503,9426,9651,22930,29716,31524,
23307,29043,9598,9710,23307,29234,30781,
23210,29259,9557,9741,23210,29489,31237,
23665,28591,9604,9866,23665,28794,30184,
23648,29605,9539,9758,23648,29821,31550,
23313,29699,9602,9828,23315,29944,31864,
23439,30497,9508,9653,23439,30717,32741,
23149,28584,9616,9869,23150,28801,30329,
23902,30103,9572,9812,23906,30359,32256,
23320,28837,9667,9827,23322,29044,30579,
23312,29186,9475,9629,23315,29412,31147,
24066,30712,9454,9630,24067,30958,33009,
24009,30348,9512,9665,24013,30577,32398,
23188,28449,9583,9779,23189,28626,30098,
23520,30105,9435,9682,23522,30361,32244,
22840,28632,9469,9659,22840,28863,30494,
23137,30529,9301,9424,23141,30754,32838,
23031,27530,9568,9806,23031,27726,28992,
