Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
15277,26381,7993,8536,15283,26558,31609,
15261,25555,7955,8641,15265,25724,30503,
15212,26377,7991,8549,15217,26526,31827,
15599,25855,8161,8744,15605,26009,30527,
15330,26459,8036,8546,15333,26608,31691,
14919,26062,7948,8525,14931,26217,31519,
15223,26285,8006,8540,15229,26444,31545,
15243,26852,7913,8489,15254,27004,32586,
15342,25943,7998,8551,15348,26102,31414,
15561,26411,8111,8638,15564,26570,31449,
15152,25717,7969,8494,15157,25894,30759,
15501,25128,8185,8719,15503,25330,29325,
15345,26884,7979,8548,15352,27041,32329,
15208,25611,8077,8670,15214,25760,30413,
15030,25875,8004,8554,15032,26042,31074,
15269,26657,7942,8531,15271,26799,32248,
15225,25775,7989,8584,15232,25947,30591,
14933,26976,7767,8325,14940,27130,32899,
15336,25788,8033,8646,15346,25932,30696,
15172,26767,7959,8461,15181,26916,32169,
