src,dst,spec,core_src,core_dst,used_slot,tfk_slot
0,8,35,2,1,2,1.0
0,9,22,2,1,13,12.0
0,13,67,0,1,13,12.0
0,17,45,2,1,2,1.0
0,28,52,1,2,16,15.0
0,39,42,2,2,3,2.0
0,41,40,0,0,7,6.0
0,42,22,0,1,10,9.0
0,47,5,0,0,11,10.0
0,49,50,1,1,2,1.0
0,53,21,1,1,18,17.0
0,55,47,2,1,16,15.0
0,59,63,2,1,17,16.0
0,64,6,2,0,5,4.0
0,66,68,1,1,12,11.0
0,80,11,2,2,9,8.0
0,83,47,0,2,19,18.0
1,8,0,2,2,7,6.0
1,13,40,2,2,8,7.0
1,19,48,2,1,9,8.0
1,34,12,0,1,2,1.0
1,52,5,1,0,2,1.0
1,65,57,2,2,2,1.0
1,78,51,0,0,11,10.0
1,91,7,2,1,5,4.0
1,98,25,1,1,11,10.0
2,10,2,1,2,7,6.0
2,55,25,1,2,2,1.0
2,56,51,0,2,14,13.0
3,17,47,2,2,12,11.0
3,20,39,1,1,9,8.0
3,21,21,1,1,18,17.0
3,30,67,2,1,13,12.0
3,48,2,1,0,14,13.0
3,55,16,2,1,17,16.0
3,59,53,1,2,27,26.0
3,66,59,2,1,8,7.0
3,82,2,2,2,10,9.0
4,2,43,0,2,11,10.0
4,7,0,1,0,2,1.0
4,14,0,0,0,12,11.0
4,19,12,0,2,13,12.0
4,24,25,0,0,9,8.0
4,25,29,2,1,13,12.0
4,29,36,1,0,19,18.0
4,37,42,2,2,2,1.0
4,49,54,0,0,16,15.0
4,56,65,2,2,15,14.0
4,73,15,1,2,2,1.0
4,83,19,2,2,9,8.0
4,94,10,1,2,2,1.0
4,96,5,2,2,2,1.0
5,88,18,2,2,2,1.0
5,99,37,1,2,2,1.0
6,0,2,0,1,8,7.0
6,2,61,0,1,9,8.0
6,15,73,2,2,7,6.0
6,24,0,0,2,2,1.0
6,37,34,2,1,20,19.0
6,38,11,2,1,2,1.0
6,40,52,0,0,9,8.0
6,41,76,1,1,4,3.0
6,45,10,0,1,2,1.0
6,47,15,1,1,24,23.0
6,52,36,0,1,16,15.0
6,60,21,0,0,15,14.0
6,62,70,0,1,10,9.0
6,68,0,2,0,5,4.0
6,78,39,1,2,14,13.0
7,50,46,2,0,12,11.0
7,54,47,0,0,16,15.0
7,64,0,2,1,2,1.0
7,71,63,1,1,2,1.0
7,72,33,2,0,13,12.0
7,73,2,2,1,4,3.0
7,75,65,0,2,15,14.0
7,77,0,1,1,14,13.0
7,83,26,1,1,4,3.0
7,84,2,0,0,13,12.0
7,91,17,0,0,8,7.0
7,94,38,1,2,24,23.0
8,17,14,1,0,8,7.0
9,3,73,0,0,2,1.0
9,8,67,2,2,13,12.0
9,16,0,2,2,6,5.0
9,25,4,0,2,9,8.0
9,26,38,1,1,24,23.0
9,27,31,2,1,21,20.0
9,44,35,1,2,3,2.0
9,71,43,0,2,18,17.0
9,72,52,2,1,15,14.0
9,80,6,2,1,10,9.0
9,87,61,0,2,12,11.0
9,91,13,1,2,9,8.0
10,1,60,1,2,20,19.0
10,3,50,1,1,3,2.0
10,19,30,2,2,5,4.0
10,20,12,2,0,3,2.0
10,26,17,0,2,2,1.0
10,32,35,2,0,15,14.0
10,33,78,2,1,2,1.0
10,34,10,1,1,2,1.0
10,39,28,2,2,2,1.0
10,46,71,2,0,7,6.0
10,58,70,0,0,10,9.0
10,60,9,0,1,8,7.0
10,61,43,0,1,14,13.0
10,62,41,1,2,9,8.0
10,79,57,0,2,6,5.0
10,82,15,2,0,12,11.0
10,84,27,1,1,13,12.0
10,92,0,2,1,2,1.0
11,7,12,0,2,7,6.0
11,25,0,2,1,2,1.0
11,39,76,0,2,4,3.0
12,2,4,1,2,10,9.0
12,3,16,2,1,3,2.0
12,8,44,1,0,15,14.0
12,15,0,2,2,2,1.0
12,17,11,2,2,2,1.0
12,20,2,1,2,2,1.0
12,31,0,0,2,9,8.0
12,38,27,1,2,17,16.0
12,39,34,0,2,2,1.0
12,45,58,0,2,22,21.0
12,52,72,2,1,8,7.0
12,67,9,0,2,25,24.0
12,70,9,2,1,2,1.0
12,90,54,2,0,18,17.0
12,92,14,1,2,13,12.0
12,95,59,1,1,21,20.0
12,97,48,0,0,10,9.0
13,5,49,1,1,18,17.0
13,27,0,1,2,6,5.0
13,55,0,0,2,5,4.0
13,57,19,1,1,3,2.0
13,67,13,2,1,3,2.0
13,70,40,1,2,9,8.0
13,80,48,2,0,20,19.0
13,85,0,2,1,13,12.0
13,90,64,0,2,16,15.0
13,95,23,1,1,17,16.0
14,5,67,2,2,13,12.0
14,17,0,2,2,2,1.0
14,18,19,2,2,2,1.0
14,24,52,0,1,7,6.0
14,62,12,0,1,27,26.0
14,77,42,2,1,23,22.0
14,92,21,2,0,2,1.0
14,93,53,1,1,13,12.0
14,99,39,0,0,13,12.0
15,14,23,1,2,2,1.0
15,18,32,1,1,2,1.0
15,26,39,1,2,8,7.0
15,30,21,2,1,23,22.0
15,50,0,0,0,2,1.0
15,61,15,0,2,13,12.0
15,80,69,1,1,2,1.0
15,86,71,1,2,9,8.0
16,82,57,2,1,2,1.0
16,89,64,2,1,16,15.0
17,98,0,1,1,12,11.0
18,3,14,1,2,2,1.0
18,11,0,2,1,5,4.0
18,13,21,2,0,15,14.0
18,17,16,1,2,8,7.0
18,37,1,1,0,2,1.0
18,78,7,1,1,7,6.0
18,79,4,0,2,32,31.0
18,81,2,0,1,2,1.0
18,84,39,2,0,10,9.0
19,10,0,2,0,3,2.0
19,15,57,1,2,7,6.0
19,43,2,0,2,23,22.0
19,44,64,2,0,16,15.0
19,65,5,1,0,19,18.0
19,81,41,2,0,17,16.0
20,1,25,2,2,15,14.0
20,16,0,2,1,2,1.0
20,19,0,0,1,2,1.0
20,22,54,0,2,5,4.0
20,51,15,1,1,2,1.0
20,56,2,0,0,7,6.0
20,59,18,1,2,21,20.0
20,67,59,0,1,13,12.0
20,70,2,1,0,13,12.0
20,72,72,0,0,8,7.0
20,74,25,0,2,14,13.0
20,79,0,1,1,2,1.0
20,80,39,0,2,15,14.0
21,16,66,0,0,14,13.0
21,28,35,0,2,11,10.0
21,53,41,1,2,3,2.0
21,57,20,0,0,15,14.0
21,64,44,1,0,13,12.0
21,72,3,0,0,13,12.0
21,77,43,2,0,14,13.0
21,86,58,1,2,13,12.0
21,87,74,1,0,6,5.0
22,20,63,2,1,17,16.0
22,30,54,1,0,26,25.0
22,56,21,2,1,16,15.0
23,15,34,1,1,2,1.0
23,40,61,0,2,13,12.0
23,42,20,2,2,17,16.0
23,98,68,1,2,12,11.0
24,0,4,2,2,2,1.0
24,14,59,2,0,21,20.0
24,16,3,0,1,4,3.0
24,22,41,0,1,13,12.0
24,31,15,2,2,15,14.0
24,44,8,0,0,17,16.0
24,51,57,0,1,23,22.0
24,55,34,0,1,3,2.0
24,56,39,1,1,11,10.0
24,58,67,1,0,2,1.0
24,61,2,1,0,23,22.0
24,81,0,0,1,2,1.0
24,90,50,2,1,9,8.0
25,1,14,1,0,15,14.0
25,3,49,2,0,15,14.0
25,9,2,1,1,11,10.0
25,28,29,2,2,6,5.0
25,34,37,2,1,11,10.0
