Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
18041,18621,18407,10282,10516,10474,18041,18684,18497,18923,
18003,18682,18451,10235,10394,10520,18003,18758,18503,19023,
17650,17975,17798,10169,10385,10367,17650,18062,17921,18250,
17417,17565,17371,10261,10389,10413,17417,17621,17454,17740,
18021,18614,18410,10361,10536,10508,18021,18685,18493,18937,
17902,18352,18149,10354,10519,10448,17902,18435,18228,18617,
18630,19501,19260,10424,10571,10724,18630,19599,19325,19921,
17940,18374,18163,10410,10506,10491,17941,18454,18248,18646,
17638,18326,18135,10251,10414,10426,17638,18398,18173,18678,
16971,17466,17295,10144,10264,10199,16971,17561,17357,17748,
