Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
18017,23301,22975,9923,10138,10987,18018,23496,23057,25138,
17793,21796,21552,10075,10241,10950,17794,21961,21655,23209,
17946,23787,23454,9923,10172,11125,17952,23970,23632,25758,
17933,21759,21408,10172,10399,10883,17933,21924,21509,23009,
17628,22694,22461,9954,10158,10948,17631,22895,22534,24457,
17980,23855,23540,9860,10055,11162,17982,24027,23665,25907,
18292,23444,23165,9988,10216,11209,18293,23651,23291,25349,
17746,23744,23446,9877,10149,11059,17746,23955,23547,25850,
18684,24307,23952,10068,10348,11365,18689,24492,24091,26234,
17862,23046,22687,9842,10051,10950,17863,23228,22829,24903,
