Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
17334,33627,32784,9016,9114,12259,17356,33782,33017,41644,
17610,33219,32382,9166,9222,12068,17631,33388,32511,40423,
17239,33111,32370,9066,9109,12239,17245,33275,32560,40720,
17494,33704,32891,9090,9108,12024,17510,33866,33067,41435,
17833,32314,31624,9173,9207,12022,17847,32483,31737,39171,
17641,32887,32134,9194,9297,12090,17652,33082,32358,39941,
17722,32971,32304,9174,9226,12109,17733,33137,32431,40027,
17781,32977,32052,9218,9287,12263,17798,33170,32316,39800,
17527,33635,33051,9071,9126,12245,17545,33760,33199,41742,
17754,33059,32315,9190,9236,12267,17773,33230,32456,39936,
