Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
18470,21969,21629,10349,10563,11103,18472,22125,21764,23140,
17963,20160,19871,10273,10407,10804,17965,20278,19992,20920,
17679,20243,20012,10110,10269,10643,17679,20382,20122,21105,
17820,20465,20168,10116,10338,10752,17820,20586,20281,21311,
17673,20402,20112,10032,10202,10623,17673,20526,20245,21304,
18274,20908,20630,10263,10467,10832,18274,21044,20735,21796,
18069,20363,20138,10109,10307,10661,18069,20509,20232,21175,
18001,20663,20383,9939,10089,10709,18001,20804,20535,21613,
17875,21084,20794,10108,10290,10784,17876,21228,20882,22159,
18445,21394,21145,10160,10356,10814,18445,21566,21254,22439,
