src,dst,spec,core_src,core_dst,used_slot,tfk_slot
0,8,38,2,0,2,1.0
0,49,0,1,0,2,1.0
1,52,15,2,1,2,1.0
2,55,59,2,0,2,1.0
4,37,23,1,0,2,1.0
5,88,4,1,0,2,1.0
6,24,14,1,1,2,1.0
7,64,64,1,1,2,1.0
9,3,0,2,1,2,1.0
10,26,8,0,2,2,1.0
10,34,78,1,1,2,1.0
11,25,27,0,1,2,1.0
12,17,2,2,0,2,1.0
12,96,5,1,1,2,1.0
14,17,9,2,2,2,1.0
15,14,33,2,1,2,1.0
15,50,41,1,2,2,1.0
16,82,5,1,1,2,1.0
18,81,3,0,0,2,1.0
20,19,29,0,0,2,1.0
20,79,34,2,0,2,1.0
26,38,54,1,1,2,1.0
31,30,13,1,2,2,1.0
32,45,0,0,1,2,1.0
33,2,0,1,1,2,1.0
34,49,2,2,1,2,1.0
36,11,0,1,1,2,1.0
40,13,41,1,2,2,1.0
40,85,0,0,1,2,1.0
42,70,42,0,1,2,1.0
43,82,0,1,2,2,1.0
44,54,53,1,2,2,1.0
47,8,0,2,1,2,1.0
51,9,0,1,0,2,1.0
51,53,3,0,1,2,1.0
53,0,0,0,0,2,1.0
55,95,34,1,1,2,1.0
58,4,2,1,0,2,1.0
58,35,0,2,1,2,1.0
58,69,11,0,0,2,1.0
61,22,65,2,1,2,1.0
62,78,27,1,1,2,1.0
63,89,0,1,1,2,1.0
64,89,21,2,2,2,1.0
66,52,38,1,0,2,1.0
68,35,8,1,0,2,1.0
70,29,7,2,1,2,1.0
72,37,6,2,2,2,1.0
73,19,31,1,2,2,1.0
75,27,0,1,2,2,1.0
76,22,9,2,0,2,1.0
77,38,12,2,0,2,1.0
78,5,4,2,0,2,1.0
81,92,78,1,2,2,1.0
82,66,14,0,0,2,1.0
86,7,0,2,2,2,1.0
86,69,0,1,2,2,1.0
88,80,16,2,2,2,1.0
92,93,4,1,1,2,1.0
98,21,0,0,2,2,1.0
13,51,12,0,2,3,2.0
24,55,0,2,2,3,2.0
36,73,15,0,0,3,2.0
45,66,75,0,2,3,2.0
48,44,16,2,2,3,2.0
79,17,33,1,1,3,2.0
86,18,9,0,1,3,2.0
87,39,26,2,0,3,2.0
98,29,0,1,0,3,2.0
32,24,24,1,0,4,3.0
41,8,33,1,2,4,3.0
46,33,58,0,2,4,3.0
57,68,2,1,0,4,3.0
67,77,76,1,1,4,3.0
77,44,0,0,0,4,3.0
99,85,0,0,0,4,3.0
1,91,22,0,1,5,4.0
27,89,0,0,0,5,4.0
48,3,3,0,2,5,4.0
69,4,15,1,2,5,4.0
88,57,16,1,0,5,4.0
94,1,0,0,1,5,4.0
97,57,30,2,2,5,4.0
9,16,28,1,0,6,5.0
21,87,74,1,0,6,5.0
32,74,27,2,1,6,5.0
40,84,48,2,2,6,5.0
56,36,19,1,2,6,5.0
87,72,0,1,1,6,5.0
31,60,0,0,1,7,6.0
43,10,4,2,2,7,6.0
63,83,16,2,2,7,6.0
81,65,4,2,0,7,6.0
92,62,39,0,0,7,6.0
30,71,29,1,0,8,7.0
50,61,1,0,1,8,7.0
60,50,23,0,1,8,7.0
64,93,0,0,2,8,7.0
38,90,43,2,0,9,8.0
48,41,2,1,0,9,8.0
61,2,71,0,0,9,8.0
28,6,18,1,2,10,9.0
56,25,80,2,2,10,9.0
72,97,70,0,0,10,9.0
34,67,43,0,2,11,10.0
75,15,13,0,0,11,10.0
85,84,0,2,1,11,10.0
93,78,21,0,0,11,10.0
98,23,0,2,0,11,10.0
43,23,57,0,2,12,11.0
