Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
5007,5007,5007,4193,4180,3723,5007,5007,5007,5007,
4539,4539,4539,4078,4088,3588,4539,4539,4539,4539,
5222,5222,5222,4177,4176,3780,5222,5222,5222,5222,
