Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,
610,947,1150,342,408,754,610,949,1166,
623,968,1217,356,419,780,624,968,1218,
620,982,1211,352,406,780,622,983,1205,
602,960,1192,341,413,773,604,963,1202,
635,975,1233,358,422,796,636,975,1244,
612,970,1252,332,410,788,612,970,1254,
611,950,1222,341,422,779,611,950,1216,
613,966,1172,351,415,768,615,967,1178,
642,982,1254,356,435,788,643,983,1257,
603,927,1131,344,414,746,603,928,1146,
619,990,1234,347,423,800,619,990,1229,
630,961,1218,366,434,796,631,961,1213,
618,978,1239,343,420,787,619,979,1235,
612,980,1283,341,411,810,613,980,1293,
632,1008,1256,358,423,811,635,1008,1266,
629,957,1171,342,418,771,629,957,1168,
613,958,1240,348,414,791,613,959,1249,
616,978,1212,357,428,777,618,978,1208,
600,946,1205,341,415,780,601,946,1200,
615,997,1269,333,414,813,616,997,1270,
