arch1_ub,arch1_lb,arch2_ub,arch2_lb,arch4_ub,arch4_lb,arch5_ub,arch5_lb,total_cnk
300,300,4025,3398,2884,2270,4024,4007,8340
300,300,3758,3079,2758,2186,3760,3752,7515
300,300,4014,3424,2889,2252,4017,3998,8195
300,300,3953,3366,2865,2203,3957,3951,8070
300,300,4006,3418,2877,2234,4007,3996,8221
300,300,3870,3194,2811,2191,3871,3861,7877
300,300,4021,3318,2888,2227,4023,4011,8453
300,300,3840,3249,2794,2170,3840,3833,7637
300,300,3949,3380,2856,2229,3952,3938,8061
300,300,3776,3206,2780,2191,3776,3768,7627
300,300,3866,3275,2812,2196,3866,3850,7756
300,300,3916,3317,2844,2217,3915,3905,7997
300,300,3801,3310,2776,2147,3803,3788,7746
300,300,3881,3372,2821,2204,3882,3872,7879
300,300,3874,3355,2819,2205,3873,3863,7997
300,300,3849,3359,2797,2187,3849,3843,7794
300,300,3922,3370,2858,2214,3925,3918,7706
299,299,3903,3266,2838,2230,3903,3894,7865
300,300,3952,3378,2856,2169,3952,3943,7982
300,300,3932,3431,2849,2223,3930,3920,8096
