arch1_ub,arch1_lb,arch2_ub,arch2_lb,arch4_ub,arch4_lb,arch5_ub,arch5_lb,total_cnk
225,225,2554,2261,1959,1554,2556,2541,4427
225,225,2415,2149,1876,1532,2415,2400,4206
225,225,2455,2172,1887,1526,2455,2447,4251
225,225,2501,2198,1911,1559,2500,2491,4443
225,225,2578,2289,1968,1550,2578,2570,4600
225,225,2487,2205,1906,1538,2488,2474,4492
225,225,2373,2112,1845,1496,2373,2354,4204
225,225,2501,2182,1919,1540,2503,2496,4375
225,225,2499,2234,1913,1537,2500,2493,4400
225,225,2544,2266,1946,1581,2545,2534,4554
225,225,2463,2107,1901,1523,2463,2447,4403
225,225,2532,2186,1931,1551,2530,2526,4629
225,225,2481,2213,1902,1500,2481,2474,4444
225,225,2530,2264,1933,1558,2529,2521,4443
225,225,2540,2239,1939,1552,2540,2524,4501
225,225,2613,2294,1978,1574,2612,2608,4763
225,225,2478,2214,1907,1529,2480,2472,4362
225,225,2559,2246,1955,1538,2559,2546,4637
225,225,2475,2208,1913,1538,2478,2469,4299
225,225,2468,2179,1902,1531,2469,2456,4308
225,225,2502.3,2210.9,1919.55,1540.35,2502.7,2492.15,4437.05
