src,dst,spec,core_src,core_dst,used_slot,tfk_slot
0,8,78,2,1,2,1.0
0,9,31,1,2,13,12.0
0,13,36,2,1,13,12.0
0,17,78,0,0,2,1.0
0,28,44,1,1,16,15.0
0,39,17,1,1,3,2.0
0,41,20,1,0,7,6.0
0,42,26,2,1,10,9.0
0,47,17,0,2,11,10.0
0,49,8,1,1,2,1.0
0,53,60,1,0,18,17.0
0,55,1,0,1,16,15.0
0,59,46,0,0,17,16.0
0,64,10,1,1,5,4.0
0,66,28,0,1,12,11.0
0,80,4,2,1,9,8.0
0,83,52,2,0,19,18.0
1,13,28,1,1,8,7.0
1,19,38,1,0,9,8.0
1,34,0,0,2,2,1.0
1,52,2,1,2,2,1.0
1,65,0,1,2,2,1.0
1,78,60,0,1,11,10.0
1,91,15,2,1,5,4.0
1,98,30,2,0,11,10.0
2,10,16,2,0,7,6.0
2,55,18,1,2,2,1.0
2,56,66,0,2,14,13.0
3,17,68,0,1,12,11.0
3,21,54,1,1,18,17.0
3,30,16,2,2,13,12.0
3,48,0,2,1,14,13.0
3,55,0,0,0,17,16.0
3,59,36,0,2,27,26.0
3,66,72,1,2,8,7.0
3,82,13,1,1,10,9.0
4,2,44,0,2,11,10.0
4,7,54,2,2,2,1.0
4,14,32,0,2,12,11.0
4,19,48,1,0,13,12.0
4,24,2,1,1,9,8.0
4,25,0,0,0,13,12.0
4,29,13,2,0,19,18.0
4,49,38,2,1,16,15.0
4,56,65,1,0,15,14.0
4,73,3,2,1,2,1.0
4,83,22,0,2,9,8.0
4,94,0,1,2,2,1.0
4,96,15,1,1,2,1.0
5,88,21,2,1,2,1.0
5,99,13,2,2,2,1.0
6,2,0,1,2,9,8.0
6,15,9,1,1,7,6.0
6,24,76,2,0,2,1.0
6,34,67,2,2,2,1.0
6,37,17,0,2,20,19.0
6,38,35,2,0,2,1.0
6,40,54,0,1,9,8.0
6,41,2,0,2,4,3.0
6,47,56,1,2,24,23.0
6,52,40,1,2,16,15.0
6,60,39,0,0,15,14.0
6,62,6,0,1,10,9.0
6,68,75,0,2,5,4.0
6,78,16,1,0,14,13.0
7,50,23,2,1,12,11.0
7,54,0,0,2,16,15.0
7,64,6,1,2,2,1.0
7,71,0,1,2,2,1.0
7,72,39,0,0,13,12.0
7,73,2,1,2,4,3.0
7,75,51,1,1,15,14.0
7,77,9,2,2,14,13.0
7,83,35,2,1,4,3.0
7,84,39,2,2,13,12.0
7,91,14,1,0,8,7.0
7,94,56,2,2,24,23.0
8,17,30,0,1,8,7.0
9,3,17,1,0,2,1.0
9,8,21,0,1,13,12.0
9,16,11,1,2,6,5.0
9,25,0,0,2,9,8.0
9,26,41,1,0,24,23.0
9,27,59,0,0,21,20.0
9,51,0,1,0,11,10.0
9,71,62,2,1,18,17.0
9,72,16,2,2,15,14.0
9,80,31,1,1,10,9.0
9,87,19,1,1,12,11.0
9,91,7,2,2,9,8.0
10,1,45,0,2,20,19.0
10,3,26,1,1,3,2.0
10,19,32,2,2,5,4.0
10,26,4,0,0,2,1.0
10,32,65,1,2,15,14.0
10,33,0,0,1,2,1.0
10,39,0,2,0,2,1.0
10,46,73,0,0,7,6.0
10,58,15,1,1,10,9.0
10,60,37,0,2,8,7.0
10,61,23,0,0,14,13.0
10,62,23,2,1,9,8.0
10,84,37,2,1,13,12.0
11,7,2,0,2,7,6.0
11,25,13,1,0,2,1.0
11,39,71,1,2,4,3.0
12,2,66,1,2,10,9.0
12,3,23,1,1,3,2.0
12,8,53,0,0,15,14.0
12,15,27,1,1,2,1.0
12,17,0,2,2,2,1.0
12,20,4,0,1,2,1.0
12,31,14,0,1,9,8.0
12,38,34,0,1,17,16.0
12,39,2,0,2,2,1.0
12,45,13,2,0,22,21.0
12,52,6,0,1,8,7.0
12,70,0,0,2,2,1.0
12,90,35,2,0,18,17.0
12,92,3,1,1,13,12.0
12,95,42,1,0,21,20.0
12,96,51,0,2,2,1.0
12,97,3,2,0,10,9.0
13,5,49,1,1,18,17.0
13,8,78,2,0,2,1.0
13,27,72,2,2,6,5.0
13,55,23,1,2,5,4.0
13,57,37,2,2,3,2.0
13,67,13,1,2,3,2.0
13,70,12,2,1,9,8.0
13,80,0,0,0,20,19.0
13,85,0,1,2,13,12.0
13,90,40,2,1,16,15.0
13,95,48,0,1,17,16.0
