beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
2.0,17391.0,1420445.0,17391.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,24785.0,3163412.0,24785.0,0.0,0.0,0.0,0.0,0.0,0.0
