Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
17552,24829,24333,0,9777,9923,15992,0,17553,25058,24524,0,27498,
17383,24445,23979,0,9633,9848,15799,0,17384,24616,24197,0,27058,
17688,25931,25382,0,9609,9891,16367,0,17689,26160,25584,0,29006,
17272,24947,24478,0,9629,9838,16000,0,17275,25222,24681,0,27943,
17336,24953,24427,0,9608,9763,16092,0,17339,25148,24644,0,27658,
17961,24044,23623,0,9929,10169,15827,0,17961,24249,23791,0,26264,
17779,25906,25330,0,9721,9895,16385,0,17781,26111,25546,0,28791,
17700,25020,24489,0,9742,9984,15954,0,17704,25246,24680,0,27706,
18366,25250,24726,0,9932,10164,16207,0,18367,25491,24954,0,28012,
17608,25008,24557,0,9783,9925,16120,0,17609,25226,24741,0,27656,
17603,25556,24986,0,9671,9929,16136,0,17604,25771,25178,0,28544,
17629,25232,24661,0,9784,10019,16034,0,17630,25448,24869,0,27933,
17995,25160,24657,0,9854,10044,16163,0,17998,25385,24862,0,27768,
17674,25542,25001,0,9810,10045,16206,0,17676,25769,25214,0,28370,
17908,26254,25663,0,9884,10077,16560,0,17915,26496,25887,0,29365,
17900,24537,24023,0,9826,10015,15804,0,17906,24786,24230,0,27027,
17721,24813,24311,0,9767,10039,16000,0,17722,25031,24524,0,27495,
17534,24507,24033,0,9792,10037,15933,0,17534,24671,24214,0,26919,
17172,25027,24490,0,9678,9826,15967,0,17177,25276,24703,0,27962,
17361,25500,24957,0,9673,9745,16211,0,17367,25715,25165,0,28511,
