Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
17467,28099,27368,0,9483,9680,16824,0,17473,28331,27583,0,32330,
17039,25840,25294,0,9479,9677,16092,0,17040,26062,25481,0,29173,
17089,27050,26452,0,9381,9449,16639,0,17092,27254,26671,0,31049,
17201,26917,26269,0,9545,9822,16480,0,17201,27137,26478,0,30588,
17575,28210,27484,0,9516,9682,17003,0,17582,28438,27692,0,32540,
17376,26100,25547,0,9466,9661,16324,0,17378,26374,25775,0,29606,
17550,26026,25507,0,9597,9809,16341,0,17554,26254,25706,0,29255,
17799,28118,27346,0,9637,9693,17015,0,17807,28328,27611,0,32105,
17954,29267,28490,0,9550,9681,17292,0,17961,29469,28704,0,33948,
17063,26104,25530,0,9459,9701,16271,0,17068,26343,25724,0,29607,
17991,27483,26711,0,9705,9913,16817,0,17993,27714,26948,0,31293,
17323,26583,25948,0,9549,9642,16456,0,17324,26810,26154,0,30213,
17127,28087,27287,0,9423,9627,16863,0,17131,28300,27497,0,32469,
17866,26810,26162,0,9710,9910,16632,0,17869,27050,26367,0,30374,
17274,27802,27079,0,9543,9684,16896,0,17278,28025,27286,0,31887,
17043,26887,26252,0,9460,9632,16524,0,17049,27133,26454,0,30763,
17088,27878,27124,0,9431,9616,16891,0,17093,28072,27354,0,32156,
17168,27467,26789,0,9398,9668,16749,0,17171,27699,26995,0,31594,
17426,27912,27247,0,9491,9665,16847,0,17429,28152,27466,0,32312,
17752,27688,26994,0,9628,9855,16911,0,17760,27903,27225,0,31705,
