Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,
1219,2093,3679,641,821,1942,1220,2093,3658,
1200,2038,3475,623,810,1880,1201,2039,3473,
1237,2119,3683,646,817,1943,1237,2119,3674,
1208,2081,3646,637,813,1933,1209,2081,3593,
1213,2062,3680,632,817,1941,1213,2062,3670,
1207,2061,3568,652,823,1912,1207,2061,3552,
1213,2081,3741,638,819,1946,1215,2081,3710,
1224,2046,3575,645,821,1886,1226,2046,3542,
1201,2051,3667,621,802,1932,1203,2051,3629,
1217,2092,3510,638,818,1896,1218,2092,3449,
1217,2069,3537,641,811,1905,1217,2069,3523,
1202,2042,3626,631,805,1933,1203,2042,3590,
1207,2067,3538,639,819,1890,1209,2067,3460,
1193,2031,3586,619,802,1912,1194,2031,3553,
1210,2041,3577,642,813,1915,1210,2041,3567,
1213,2074,3577,626,810,1875,1213,2074,3504,
1225,2087,3620,644,814,1946,1227,2087,3611,
1212,2085,3566,631,808,1925,1213,2085,3579,
1203,2057,3656,636,819,1915,1203,2057,3616,
1198,2054,3628,629,809,1932,1200,2054,3586,
