Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
9988,9850,10373,7747,7747,7234,10317,10152,10816,30887,
10013,9756,10148,7830,7830,7060,10380,10052,10503,28540,
10099,9972,10474,7818,7818,7256,10434,10316,10757,32447,
9963,9806,10219,7775,7775,7163,10303,10108,10630,30887,
10035,9842,10284,7816,7816,7180,10376,10124,10721,30760,
10063,10055,10495,7817,7817,7311,10399,10319,10840,32957,
9936,9757,10230,7740,7740,7142,10278,10014,10469,29760,
10026,9851,10317,7795,7795,7125,10365,10155,10511,30843,
10075,10006,10289,7827,7827,7223,10412,10317,10751,32759,
10115,9946,10327,7854,7854,7226,10459,10271,10696,32101,
