Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
21032,31075,30327,10769,10950,11959,21032,31311,30485,33567,
20725,29751,29096,10627,10840,11576,20725,29979,29218,31974,
21072,28217,27660,10769,11030,11696,21072,28467,27730,29956,
21073,29892,29295,10746,10902,11970,21073,30128,29448,31987,
21064,29311,28750,10788,11030,11690,21064,29504,28857,31264,
20850,29805,29175,10663,10936,11795,20850,30050,29359,32058,
20922,30111,29564,10719,10933,11884,20922,30328,29700,32314,
21255,29282,28637,10805,11041,11801,21255,29485,28831,31281,
20624,29215,28571,10779,11004,11481,20624,29406,28676,31192,
20357,29504,28950,10611,10870,11877,20357,29748,29052,31725,
