Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
10321,10810,11120,7791,7791,7612,10610,11127,11523,30055,
10339,10972,11204,7790,7790,7615,10626,11240,11640,31893,
10517,11064,11233,7888,7888,7613,10800,11353,11477,31806,
10341,10871,11182,7775,7775,7648,10633,11193,11553,31272,
10387,11026,11197,7833,7833,7645,10674,11325,11543,31857,
10317,10830,11236,7766,7766,7588,10601,11180,11465,31375,
10334,10864,11130,7775,7775,7611,10623,11115,11482,30477,
10332,10748,10997,7792,7792,7516,10614,11075,11400,30099,
10278,10967,11368,7759,7759,7654,10565,11247,11644,31310,
10429,10929,11032,7834,7834,7597,10707,11230,11539,31089,
