Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
8549,8421,8623,7736,7736,6497,9294,9178,9393,30625,
8618,8532,8549,7850,7850,6488,9385,9270,9382,30356,
8524,8404,8595,7734,7734,6527,9259,9138,9420,31398,
8477,8340,8592,7686,7686,6468,9170,9088,9339,30500,
8623,8515,8542,7807,7807,6500,9391,9300,9393,31721,
8654,8556,8489,7850,7850,6455,9426,9333,9336,31834,
8579,8470,8550,7778,7778,6493,9326,9259,9381,31068,
8647,8518,8501,7819,7819,6468,9417,9305,9309,33024,
8570,8446,8599,7755,7755,6515,9320,9180,9448,32312,
8573,8451,8559,7766,7766,6474,9326,9173,9361,31436,
