Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
9518,8786,9116,7808,7808,6701,9942,9124,9667,30377,
9405,8697,9183,7750,7750,6698,9835,9028,9735,29307,
9426,8762,9156,7734,7734,6654,9846,9100,9701,29966,
9516,8770,9210,7797,7797,6703,9932,9105,9698,30631,
9526,8867,9292,7778,7778,6736,9942,9189,9785,31165,
9568,8807,9082,7826,7826,6604,9997,9181,9586,31092,
9527,8763,9239,7811,7811,6699,9945,9142,9761,29506,
9531,8785,9356,7812,7812,6699,9966,9162,9777,30419,
9477,8747,9151,7762,7762,6672,9893,9087,9672,30722,
9452,8674,9233,7731,7731,6688,9846,9037,9771,30833,
