Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
26547,32624,32070,11819,11992,11920,26547,32795,32169,33558,
26498,29831,29491,11710,11902,12040,26498,29976,29553,30465,
26701,31662,31202,11675,11923,12040,26701,31809,31337,32457,
25830,30008,29586,11618,11821,11947,25830,30168,29703,30711,
25998,31514,31010,11467,11751,11939,25998,31690,31149,32387,
26661,30827,30396,11758,12019,11759,26661,30963,30463,31537,
25950,29135,28752,11508,11724,11620,25950,29262,28867,29648,
26374,31225,30717,11664,11899,11823,26374,31364,30852,31966,
25521,31691,31131,11555,11832,11995,25521,31835,31289,32615,
25604,28910,28521,11319,11589,11681,25604,29025,28643,29437,
