Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
12582,18195,18285,7906,7906,9580,12676,18447,18568,31262,
12546,17672,17757,7882,7880,9488,12638,17922,17924,29369,
12679,18241,18294,7901,7906,9662,12766,18484,18532,30638,
12750,18528,18583,7949,7949,9678,12828,18755,18815,31597,
12628,18361,18483,7895,7895,9647,12715,18625,18712,31519,
12662,18094,18237,7910,7922,9631,12752,18311,18424,30648,
12519,17262,17493,7875,7875,9458,12603,17524,17564,28384,
12617,18099,18292,7864,7864,9659,12709,18342,18420,30620,
12574,17999,18200,7896,7905,9605,12657,18273,18357,30360,
12561,17540,17769,7900,7900,9455,12645,17807,17909,29384,
