Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
13571,22811,22499,8119,8129,10654,13610,23058,22699,31202,
13883,23562,23163,8212,8214,10783,13913,23826,23349,32371,
13610,22947,22681,8161,8157,10672,13647,23227,22827,31576,
13598,22247,21989,8177,8181,10617,13629,22512,22187,30012,
13591,23005,22657,8134,8145,10741,13614,23259,22879,31521,
13750,22848,22582,8216,8229,10646,13779,23096,22684,31162,
13861,22043,21841,8275,8277,10583,13888,22289,21981,29584,
13756,22376,22134,8174,8174,10595,13795,22626,22241,30140,
13776,23354,22974,8209,8219,10805,13809,23598,23096,31908,
13996,22158,21953,8267,8292,10605,14022,22397,22154,29593,
