beta,connection_ub,throughput_ub,obj_ub,connection_lb,throughput_lb,obj_lb,connection_he,throughput_he,obj_he
0.008,0.01,0.02,0.04
862,862,823,770
249509.0,249411.0,253779.0,255916.0
2858.072,3356.11,5898.58,11006.64
784,0,809,0,755,0,711,0
219608.0,0,229399.0,0,236459.0,0,241501.0,0
2540.864,0,3102.99,0,5484.18,0,10371.04,0
533,533,533,533
234176.0,234176.0,234176.0,234176.0
2406.408,2874.76,5216.52,9900.04
