Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
11674,11674,11674,0,10150,10160,11035,0,11674,11674,11674,0,11674,
11987,11987,11987,0,10330,10347,11249,0,11987,11987,11987,0,11987,
12413,12413,12413,0,10265,10311,11512,0,12413,12413,12413,0,12413,
12073,12073,12073,0,10373,10330,11313,0,12073,12073,12073,0,12073,
12427,12427,12427,0,10391,10388,11542,0,12427,12427,12427,0,12427,
11935,11935,11935,0,10441,10425,11248,0,11935,11935,11935,0,11935,
12354,12354,12354,0,10103,10106,11373,0,12354,12354,12354,0,12354,
12724,12724,12724,0,10550,10520,11744,0,12724,12724,12724,0,12724,
12289,12289,12289,0,10449,10426,11472,0,12289,12289,12289,0,12289,
12776,12776,12776,0,10362,10358,11725,0,12776,12776,12776,0,12776,
12193,12193,12193,0,10369,10335,11413,0,12193,12193,12193,0,12193,
12883,12883,12883,0,10622,10688,11884,0,12883,12883,12883,0,12883,
11861,11861,11861,0,10313,10330,11188,0,11861,11861,11861,0,11861,
12170,12170,12170,0,10036,10056,11235,0,12170,12170,12170,0,12170,
11925,11925,11925,0,10240,10255,11171,0,11925,11925,11925,0,11925,
11564,11564,11564,0,10060,10046,10906,0,11564,11564,11564,0,11564,
12385,12385,12385,0,10342,10329,11505,0,12385,12385,12385,0,12385,
12227,12227,12227,0,10276,10265,11377,0,12227,12227,12227,0,12227,
12198,12198,12198,0,10391,10357,11404,0,12198,12198,12198,0,12198,
12751,12751,12751,0,10479,10497,11733,0,12751,12751,12751,0,12751,
