Arch2_bench1,Arch2_bench2,Arch2_sa,Arch2_ff,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch4_ff,Arch5_bench1,Arch5_bench2,Arch5_sa,Arch5_ff,total_cnk,
9797,9797,9797,0,9620,9588,9696,0,9797,9797,9797,0,9797,
10104,10104,10104,0,9825,9798,9961,0,10104,10104,10104,0,10104,
9977,9977,9977,0,9708,9697,9860,0,9977,9977,9977,0,9977,
9665,9665,9665,0,9523,9502,9576,0,9665,9665,9665,0,9665,
10777,10777,10777,0,10388,10381,10581,0,10777,10777,10777,0,10777,
9764,9764,9764,0,9596,9593,9678,0,9764,9764,9764,0,9764,
9976,9976,9976,0,9816,9793,9897,0,9976,9976,9976,0,9976,
9804,9804,9804,0,9645,9620,9712,0,9804,9804,9804,0,9804,
9556,9556,9556,0,9404,9382,9482,0,9556,9556,9556,0,9556,
9272,9272,9272,0,9167,9143,9209,0,9272,9272,9272,0,9272,
9847,9847,9847,0,9703,9682,9773,0,9847,9847,9847,0,9847,
9585,9585,9585,0,9460,9449,9521,0,9585,9585,9585,0,9585,
9262,9262,9262,0,9157,9142,9183,0,9262,9262,9262,0,9262,
10007,10007,10007,0,9752,9737,9865,0,10007,10007,10007,0,10007,
9451,9451,9451,0,9310,9294,9375,0,9451,9451,9451,0,9451,
10059,10059,10059,0,9858,9837,9952,0,10059,10059,10059,0,10059,
9092,9092,9092,0,8931,8922,9023,0,9092,9092,9092,0,9092,
9368,9368,9368,0,9284,9276,9323,0,9368,9368,9368,0,9368,
9570,9570,9570,0,9463,9443,9518,0,9570,9570,9570,0,9570,
10113,10113,10113,0,9807,9762,9950,0,10113,10113,10113,0,10113,
