id,arch4_connections_lb,arch4_connections_ub,arch4_throughput_lb,arch4_throughput_ub,arch1_connections,arch1_throughput,arch2_connections_lb,arch2_connections_ub,arch2_throughput_lb,arch2_throughput_ub,arch5_connections_lb,arch5_connections_ub,arch5_throughput_lb,arch5_throughput_ub,total_cnk
0,463.0,495.0,360900.0,385400.0,223.0,221600.0,917.0,949.0,417350.0,424450.0,323.0,647.0,211500.0,421600.0,4427.0
1,471.0,503.0,360725.0,384525.0,221.0,221000.0,922.0,954.0,415425.0,423900.0,366.0,733.0,220850.0,423825.0,4206.0
2,476.0,506.0,360400.0,384200.0,225.0,222200.0,908.0,933.0,417350.0,424975.0,323.0,646.0,216825.0,420625.0,4251.0
3,458.0,488.0,367400.0,385800.0,223.0,223000.0,930.0,945.0,420375.0,424325.0,316.0,633.0,204200.0,421300.0,4443.0
4,464.0,493.0,366225.0,385625.0,224.0,223025.0,913.0,942.0,417550.0,424575.0,319.0,638.0,210700.0,420800.0,4600.0
5,465.0,499.0,358925.0,385125.0,224.0,222500.0,911.0,940.0,417450.0,424600.0,315.0,630.0,203500.0,420300.0,4492.0
6,477.0,503.0,365900.0,384700.0,224.0,223200.0,918.0,945.0,416475.0,424125.0,328.0,657.0,211875.0,421000.0,4204.0
7,459.0,483.0,370025.0,386425.0,224.0,224000.0,924.0,944.0,417875.0,423950.0,317.0,635.0,210200.0,421900.0,4375.0
8,467.0,497.0,364225.0,385025.0,222.0,221200.0,912.0,934.0,418425.0,424825.0,323.0,647.0,211700.0,420700.0,4400.0
9,463.0,485.0,368875.0,385875.0,223.0,223000.0,925.0,940.0,421125.0,424575.0,320.0,640.0,199725.0,421350.0,4554.0
10,465.0,499.0,355925.0,384525.0,221.0,220025.0,899.0,940.0,417675.0,425250.0,321.0,643.0,206125.0,420775.0,4403.0
11,461.0,487.0,368575.0,385975.0,224.0,222225.0,930.0,951.0,417500.0,423775.0,320.0,641.0,209400.0,421400.0,4629.0
12,467.0,493.0,367350.0,385150.0,224.0,222425.0,929.0,950.0,418100.0,424100.0,325.0,651.0,211300.0,420600.0,4444.0
13,466.0,493.0,367850.0,385250.0,223.0,222200.0,929.0,951.0,418325.0,424525.0,325.0,650.0,202925.0,420350.0,4443.0
14,462.0,484.0,368450.0,386250.0,223.0,223000.0,911.0,944.0,415300.0,424125.0,313.0,627.0,205300.0,421300.0,4501.0
15,458.0,473.0,376450.0,387450.0,225.0,225000.0,933.0,935.0,423675.0,424475.0,310.0,621.0,205400.0,421200.0,4763.0
16,461.0,486.0,365450.0,386050.0,224.0,224000.0,914.0,922.0,422325.0,425225.0,317.0,634.0,218300.0,421500.0,4362.0
17,465.0,497.0,361850.0,384750.0,222.0,220125.0,923.0,954.0,415725.0,424125.0,320.0,641.0,207225.0,421325.0,4637.0
18,466.0,487.0,371025.0,385725.0,224.0,223400.0,898.0,932.0,417600.0,425400.0,317.0,635.0,211500.0,421600.0,4299.0
19,468.0,505.0,353800.0,384200.0,222.0,220500.0,920.0,949.0,417900.0,424525.0,352.0,705.0,205550.0,416625.0,4308.0
