Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
17790,31438,30680,9367,9484,11947,17799,31633,30801,37476,
17879,31628,30713,9337,9516,12127,17889,31807,30994,37728,
17858,31575,30747,9384,9477,11984,17877,31764,30911,37815,
17818,31358,30499,9408,9465,11772,17826,31551,30652,37208,
18215,31313,30490,9454,9563,11922,18226,31528,30719,36839,
17789,31295,30389,9397,9470,11889,17798,31498,30583,37084,
18281,30853,30030,9454,9606,11870,18288,31079,30175,36132,
17974,31761,30986,9346,9427,12137,17987,31943,31141,37976,
17847,31388,30543,9434,9505,11948,17853,31568,30683,37301,
18304,30326,29565,9525,9570,12054,18317,30529,29760,35460,
