Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
15377,36463,36933,8485,8489,12507,15391,36500,37044,49674,
15851,36474,36748,8585,8604,12519,15858,36519,36836,49297,
15617,36463,36816,8526,8529,12482,15626,36494,36971,49747,
15504,36429,36884,8504,8512,12327,15511,36468,37051,49774,
15745,36502,36740,8551,8563,12507,15758,36530,36920,49215,
15653,36479,37006,8540,8545,12468,15662,36507,37196,49806,
15625,36462,36958,8536,8545,12480,15632,36492,37072,49903,
15372,36660,36972,8487,8488,12463,15384,36692,37103,49646,
15556,36518,37085,8518,8540,12365,15576,36551,37211,49927,
15706,36305,37073,8551,8564,12557,15714,36346,37207,50303,
