Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
17362,34332,33556,8981,9051,12039,17375,34445,33764,42881,
17179,34575,34054,8944,8948,12386,17192,34688,34237,43499,
17067,34557,34026,8915,8927,12367,17079,34683,34179,43473,
16810,34699,34364,8853,8870,12382,16825,34825,34489,44189,
16678,34403,33807,8882,8901,12308,16696,34520,33995,43261,
17302,34003,33313,9033,9118,12407,17320,34133,33476,41763,
16923,34713,34139,8917,8956,12174,16943,34828,34344,43682,
16444,34754,34225,8840,8910,12429,16460,34856,34345,44120,
16981,34603,34037,8888,8922,12351,16998,34716,34198,43463,
17226,33821,33063,8978,9010,12368,17244,33963,33229,41746,
