Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
14671,36980,39619,8339,8345,12492,14680,36986,39737,56277,
14885,36852,39636,8358,8365,12323,14898,36865,39845,56127,
14743,36851,39448,8326,8330,12444,14747,36863,39622,55926,
14881,36886,39477,8356,8364,12362,14888,36895,39630,55992,
14888,37129,39467,8361,8365,12399,14900,37138,39666,55758,
14767,36709,39497,8338,8346,12550,14781,36721,39616,55957,
14811,36739,39603,8345,8345,12500,14824,36747,39778,55932,
14766,36739,39713,8344,8345,12517,14773,36748,39867,56331,
14937,37003,39298,8375,8378,12410,14948,37009,39458,55816,
14844,36789,39470,8345,8416,12425,14848,36792,39600,55891,
