Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
14565,36460,40525,8284,8289,12494,14571,36474,40717,59089,
14533,36867,40600,8278,8277,12323,14544,36890,40811,59234,
14645,36578,40527,8297,8300,12508,14652,36595,40685,59025,
14464,36663,40439,8297,8295,12420,14473,36686,40604,59071,
14455,36915,40707,8258,8261,12393,14461,36930,40829,59244,
14516,36566,40657,8299,8304,12487,14530,36574,40814,59186,
14649,36640,40602,8298,8303,12452,14652,36654,40741,59091,
14618,36560,40526,8303,8307,12518,14623,36570,40656,58951,
14730,36709,40744,8305,8313,12496,14738,36723,40887,59182,
14543,36401,40413,8283,8283,12432,14547,36417,40636,59021,
