Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
16195,36102,35981,8639,8660,12447,16209,36166,36219,47638,
16450,35834,35533,8709,8747,12380,16458,35904,35716,46682,
16001,35977,35837,8622,8652,12320,16008,36052,35968,47196,
16065,35922,35952,8692,8701,12324,16085,35990,36110,47506,
16688,35690,35622,8817,8840,12458,16698,35775,35670,46222,
15961,36002,35963,8624,8618,12485,15969,36062,36113,47449,
16389,35615,35756,8705,8721,12515,16397,35681,35865,47027,
16435,35699,35553,8744,8759,12335,16448,35758,35742,46597,
15996,35894,35821,8609,8609,12416,16002,35956,35920,47400,
15975,35907,35680,8619,8630,12396,15989,35970,35860,47205,
