Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
17676,26604,26025,9622,9660,11304,17681,26835,26140,30232,
17553,27404,26715,9594,9741,11328,17554,27625,26880,31323,
17410,27887,27138,9584,9882,11357,17413,28106,27340,32048,
17681,28176,27386,9545,9721,11456,17692,28393,27600,32422,
17542,27592,27061,9603,9735,11409,17544,27834,27117,31543,
17644,26420,25872,9623,9857,11284,17646,26640,25993,29679,
17217,26875,26278,9580,9769,11249,17221,27128,26349,30733,
17183,27969,27284,9515,9710,11459,17185,28217,27432,32203,
17365,27864,27184,9427,9565,11382,17367,28087,27260,32085,
16798,27847,27156,9305,9533,11347,16805,28068,27300,32254,
