Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
5848,5848,5848,5848,5848,5848,5848,5848,5848,5848,
6096,6096,6096,6096,6096,6089,6096,6096,6096,6096,
6248,6248,6248,6248,6248,6230,6248,6248,6248,6248,
6540,6540,6540,6540,6540,6492,6540,6540,6540,6540,
6148,6148,6148,6148,6148,6128,6148,6148,6148,6148,
5869,5869,5869,5869,5869,5869,5869,5869,5869,5869,
6195,6195,6195,6195,6195,6191,6195,6195,6195,6195,
5824,5824,5824,5824,5824,5813,5824,5824,5824,5824,
6255,6255,6255,6255,6255,6250,6255,6255,6255,6255,
5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,
