Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
17906,24276,23952,9914,10169,11194,17906,24470,24078,26636,
17409,24330,23850,9746,9969,10976,17411,24502,23995,26814,
18174,26134,25655,9777,9927,11425,18181,26329,25821,29173,
18080,26437,25984,9733,9875,11424,18085,26663,26164,29610,
17738,25864,25354,9699,9878,11364,17740,26132,25552,29020,
18117,26240,25765,9881,10038,11485,18120,26450,25885,29286,
17348,25968,25442,9591,9801,11176,17349,26189,25607,29063,
17665,24000,23642,9833,10032,11062,17666,24198,23764,26287,
17106,24111,23646,9603,9793,10927,17111,24288,23833,26593,
17960,26307,25795,9760,9984,11274,17963,26541,25896,29514,
