id,arch4_connections_lb,arch4_connections_ub,arch4_throughput_lb,arch4_throughput_ub,arch1_connections,arch1_throughput,arch2_connections_lb,arch2_connections_ub,arch2_throughput_lb,arch2_throughput_ub,arch5_connections_lb,arch5_connections_ub,arch5_throughput_lb,arch5_throughput_ub,total_cnk
0,0.0,618.0,0.0,228425.0,146.0,143225.0,656.0,1194.0,143600.0,261650.0,607.0,1215.0,125750.0,256225.0,1812.0
1,0.0,559.0,0.0,236075.0,145.0,142700.0,988.0,1296.0,161350.0,256950.0,644.0,1288.0,127050.0,255450.0,1906.0
2,457.0,576.0,149550.0,233850.0,145.0,143500.0,887.0,1287.0,146850.0,259050.0,641.0,1282.0,126775.0,259200.0,1848.0
3,0.0,577.0,0.0,234750.0,147.0,144100.0,667.0,1246.0,142300.0,261625.0,626.0,1253.0,129900.0,253750.0,1836.0
0,1558.0,1666.0,335425.0,423250.0,300.0,300000.0,3601.0,4022.0,390750.0,492375.0,2007.0,4015.0,238050.0,491750.0,8340.0
1,1459.0,1582.0,329900.0,430325.0,299.0,299000.0,3355.0,3754.0,390575.0,498150.0,1875.0,3751.0,255150.0,494825.0,7515.0
2,1541.0,1653.0,335875.0,424075.0,299.0,299000.0,3567.0,4009.0,379750.0,492375.0,2003.0,4006.0,246100.0,491725.0,8195.0
3,1484.0,1589.0,341375.0,430375.0,300.0,300000.0,3555.0,3948.0,390800.0,494225.0,1972.0,3945.0,246550.0,490325.0,8070.0
4,1567.0,1685.0,326425.0,421425.0,300.0,300000.0,3554.0,3999.0,382725.0,493275.0,2000.0,4001.0,240850.0,491525.0,8221.0
5,1483.0,1580.0,347000.0,431225.0,299.0,299000.0,3443.0,3867.0,383500.0,496300.0,1929.0,3859.0,250250.0,494325.0,7877.0
6,1579.0,1696.0,334250.0,419975.0,299.0,299000.0,3585.0,4022.0,388650.0,492150.0,2008.0,4016.0,239700.0,490275.0,8453.0
7,1450.0,1557.0,336425.0,433825.0,300.0,300000.0,3408.0,3826.0,384675.0,497500.0,1916.0,3832.0,243100.0,495375.0,7637.0
8,1506.0,1615.0,337500.0,428525.0,299.0,299000.0,3555.0,3950.0,391100.0,493850.0,1972.0,3945.0,247325.0,491625.0,8061.0
9,1452.0,1546.0,344950.0,434950.0,299.0,299000.0,3391.0,3773.0,398725.0,497450.0,1883.0,3766.0,245500.0,495000.0,7627.0
10,1511.0,1629.0,332375.0,426100.0,299.0,299000.0,3470.0,3861.0,393675.0,496000.0,1928.0,3857.0,244200.0,494450.0,7756.0
11,1511.0,1607.0,345650.0,428250.0,299.0,299000.0,3476.0,3907.0,377600.0,495150.0,1954.0,3908.0,245875.0,492600.0,7997.0
12,1537.0,1647.0,334150.0,424575.0,300.0,300000.0,3424.0,3799.0,395825.0,498450.0,1898.0,3796.0,243025.0,495025.0,7746.0
13,1491.0,1598.0,337500.0,428800.0,298.0,298000.0,3484.0,3864.0,384175.0,494700.0,1934.0,3869.0,242800.0,493800.0,7879.0
14,1487.0,1600.0,333225.0,429825.0,299.0,299000.0,3479.0,3873.0,392600.0,496225.0,1929.0,3859.0,252525.0,494225.0,7997.0
15,1490.0,1593.0,341175.0,430575.0,300.0,300000.0,3349.0,3843.0,375750.0,496675.0,1918.0,3837.0,243825.0,494875.0,7794.0
16,1479.0,1591.0,331125.0,429725.0,300.0,300000.0,3485.0,3910.0,389650.0,496425.0,1955.0,3911.0,247925.0,493275.0,7706.0
17,1496.0,1611.0,333250.0,428075.0,299.0,299000.0,3465.0,3892.0,386575.0,496375.0,1948.0,3897.0,245650.0,492425.0,7865.0
18,1511.0,1609.0,342500.0,428700.0,300.0,300000.0,3527.0,3947.0,380675.0,494125.0,1969.0,3938.0,248925.0,493025.0,7982.0
19,1506.0,1612.0,333850.0,427850.0,300.0,300000.0,3482.0,3928.0,383750.0,495000.0,1961.0,3923.0,245150.0,492800.0,8096.0
